,name,city,country,iata_code,latitude,longitude,links_count
2642,Flinders Island Airport,Flinders Island,Australia,FLS,-40.0917,147.993,3
2643,Coen Airport,Coen,Australia,CUQ,-13.7608,143.114,3
2644,Tufi Airport,Tufi,Papua New Guinea,TFI,-9.07595,149.32,3
2645,Belep Islands Airport,Waala,New Caledonia,BMY,-19.7206,163.661,3
2646,Atiu Island Airport,Atiu Island,Cook Islands,AIU,-19.9678,-158.119,3
2647,Raleigh County Memorial Airport,Beckley,United States,BKW,37.7873,-81.1242,3
2648,Amboseli Airport,Amboseli National Park,Kenya,ASV,-2.64505,37.2531,3
2649,Eday Airport,Eday,United Kingdom,EOI,59.1906,-2.77222,3
2650,Bathurst Airport,Bathurst,Canada,ZBF,47.6297,-65.7389,3
2651,Deer Lake Airport,Deer Lake,Canada,YVZ,52.6558,-94.0614,3
2652,Fera/Maringe Airport,Fera Island,Solomon Islands,FRE,-8.1075,159.577,3
2653,Ivalo,Ivalo,Finland,IVL,68.607269,27.405328,3
2654,Juancho E. Yrausquin,Saba,Netherlands Antilles,SAB,17.645278,-63.220556,3
2655,Blackall,Blackall,Australia,BKQ,-24.427778,145.428611,3
2656,Al Ghaidah Intl,Al Ghaidah Intl,Yemen,AAY,16.191667,52.175,3
2657,Saidpur,Saidpur,Bangladesh,SPD,25.759228,88.908869,3
2658,Gafsa,Gafsa,Tunisia,GAF,34.422022,8.822503,3
2659,San Luis,San Luis,Argentina,LUQ,-33.273192,-66.356422,3
2660,Ghriss,Ghriss,Algeria,MUW,35.207725,0.147142,3
2661,Bou Chekif,Tiaret,Algeria,TID,35.341136,1.463147,3
2662,Tiska,Djanet,Algeria,DJG,24.292767,9.452444,3
2663,Hao,Hao Island,French Polynesia,HOI,-18.074814,-140.945886,3
2664,Kapuskasing,Kapuskasing,Canada,YYU,49.413889,-82.4675,3
2665,Pamplona,Pamplona,Spain,PNA,42.770039,-1.646331,3
2666,Lodwar,Lodwar,Kenya,LOK,3.121967,35.608692,3
2667,Asosa,Asosa,Ethiopia,ASO,10.01855,34.586253,3
2668,Jimma,Jimma,Ethiopia,JIM,7.666094,36.816639,3
2669,Gambella,Gambella,Ethiopia,GMB,8.128764,34.563131,3
2670,Bahir Dar,Bahar Dar,Ethiopia,BJR,11.608075,37.321644,3
2671,Arba Minch,Arba Minch,Ethiopia,AMH,6.039389,37.590453,3
2672,Ziguinchor,Ziguinchor,Senegal,ZIG,12.555617,-16.281783,3
2673,Praslin,Praslin,Seychelles,PRI,-4.319292,55.691417,2
2674,Port Gentil,Port Gentil,Gabon,POG,-0.711739,8.754383,2
2675,Luena,Luena,Angola,LUO,-11.768086,19.897672,2
2676,Mbanza Congo,M'banza-congo,Angola,SSY,-6.269897,14.247025,2
2677,Uzunyazi,Kastamonu,Turkey,KFS,41.316944,33.796111,2
2678,Avaratra,Mananara,Madagascar,WMR,-16.1639,49.773753,2
2679,Tampa Padang,Mamuju,Indonesia,MJU,-2.583333,119.033333,2
2680,Tho Xuan Airport,Thanh Hoa,Vietnam,THD,19.90167,105.46778,2
2681,Mfuwe,Mfuwe,Zambia,MFU,-13.258878,31.936581,2
2682,Zafer,Kutahya,Turkey,KZR,39.111389,30.13,2
2683,Ngaoundere,N'gaoundere,Cameroon,NGE,7.357011,13.559242,2
2684,Salak,Maroua,Cameroon,MVR,10.451392,14.257361,2
2685,Dalma Airport,Dalma Island,United Arab Emirates,ZDY,24.5033833,52.3360528,2
2686,Plaine Corail,Rodriguez Island,Mauritius,RRG,-19.757658,63.360983,2
2687,Veliky Ustyug,Veliky Ustyug,Russia,VUS,60.788333,46.26,2
2688,Kangding Airport,Kangding,China,KGT,30.1575,101.734722,2
2689,Termal,Rio Hondo,Argentina,RHD,-27.509946,-64.936666,2
2690,Matsapha,Manzini,Swaziland,MTS,-26.529022,31.307519,2
2691,Mendeleevo,Yuzhno-Kurilsk,Russia,DEE,43.5739,145.4107,2
2692,Qabala Airport,Qabala,Azerbaijan,GBB,40.826667,47.7125,2
2693,Gorno-Altaysk Airport,Gorno-Altaysk,Russia,RGK,51.966667,85.833333,2
2694,Pomalaa,Pomalaa,Indonesia,PUM,-4.183333,121.61667,2
2695,Mthatha,Umtata,South Africa,UTT,-31.547903,28.674289,2
2696,Lloydminster,Lloydminster,Canada,YLL,53.309166,-110.0725,2
2697,Ellisras,Lephalale,South Africa,ELL,-23.666667,27.75,2
2698,Richards Bay,Richard's Bay,South Africa,RCB,-28.741039,32.092111,2
2699,Pietermaritzburg,Pietermaritzburg,South Africa,PZB,-29.648975,30.398667,2
2700,Polokwane International,Polokwane,South Africa,PTG,-23.926089,29.484422,2
2701,Phalaborwa,Phalaborwa,South Africa,PHW,-23.937166,31.15539,2
2702,Keewaywin,Keewaywin,Canada,KEW,52.991111,-92.836389,2
2703,Margate,Margate,South Africa,MGH,-30.857408,30.343018999999998,2
2704,Tapuruquara Airport,Santa Isabel do Rio Negro,Brazil,IRZ,-0.416944,-65.033889,2
2705,Senadora Eunice Micheles Airport,Sao Paulo de Olivenca,Brazil,OLC,-3.465556,-68.918889,2
2706,Amaury Feitosa Tomaz Airport,Eirunepe,Brazil,ERN,-6.639444,-69.879722,2
2707,Sao Felix do Araguaia Airport,Sao Felix do Araguaia,Brazil,SXO,-11.6325,-50.689444,2
2708,Bonito Airport,Bointo,Brazil,BYO,-21.247222,-56.4525,2
2709,Redencao Airport,Redencao,Brazil,RDC,-8.033333,-49.98,2
2710,Trail Airport,Trail,Canada,YZZ,49.055556,-117.609167,2
2711,Vinnitsa,Vinnitsa,Ukraine,VIN,49.2433,28.6063,2
2712,Ittoqqortoormiit Heliport,Ittoqqortoormiit,Greenland,OBY,70.485278,-21.966667,2
2713,Mulatupo Airport,Mulatupo,Panama,MPP,8.95,-77.75,2
2714,Garachine Airport,Garachine,Panama,GHE,8.06,-78.36,2
2715,Achutupo Airport,Achutupo,Panama,ACU,9.2,-77.98,2
2716,Goodnews Airport,Goodnews Bay,United States,GNU,59.1175,-161.5775,2
2717,Puerto Obaldia,Puerto Obaldia,Panama,PUE,8.68333,-77.5333,2
2718,El Porvenir,El Porvenir,Panama,PVE,9.559167,-78.971111,2
2719,Playon Chico,Playon Chico,Panama,PYC,9.303333,-78.236111,2
2720,Marktoberdorf BF,Marktoberdorf,Germany,OAL,47.78,10.627,2
2721,Mysore Airport,Mysore,India,MYQ,12.3072,76.6497,2
2722,Stephenville,Stephenville,Canada,YJT,48.544167,-58.549999,2
2723,Los Alamos Airport,Los Alamos,United States,LAM,35.8798019,-106.2694153,2
2724,Dickwella Airport,Dickwella,Sri Lanka,DIW,5.966667,80.683333,2
2725,Ulaangom Airport,Ulaangom,Mongolia,ULO,49.973333,92.079722,2
